id,address,state,city,zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source,"Census Year","State FIPS","County FIPS","Place FIPS","Census Tract Code","Census Block Code","Census Block Group","Full FIPS","Metro/Micro Statistical Area Name","Metro/Micro Statistical Area Code","Metro/Micro Statistical Area Type","Combined Statistical Area Name","Combined Statistical Area Code","Metropolitan Division Area Name","Metropolitan Division Area Code"
10,"1001 SANTA FE AVE",CA,ALBANY,94706,37.887938,-122.288208,1,rooftop,1001,"Santa Fe Ave",Albany,CA,"Alameda County",94706,US,"Alameda County",2018,06,06001,0600674,420600,2011,2,060014206002011,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
11,"1000 JACKSON ST",CA,ALBANY,94706,37.8875,-122.300951,1,range_interpolation,1000,"Jackson St",Albany,CA,"Alameda County",94706,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06001,0600674,420400,1001,1,060014204001001,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
12,"43326 MISSION BLVD",CA,FREMONT,94539,37.532749,-121.919736,1,range_interpolation,43326,"Mission Blvd",Fremont,CA,"Alameda County",94539,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06001,0626000,443103,1013,1,060014431031013,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
13,"1105 WALPERT ST",CA,HAYWARD,94541,37.668022,-122.074118,1,rooftop,1105,"Walpert St",Hayward,CA,"Alameda County",94541,US,"Alameda County",2018,06,06001,0633000,436401,4005,4,060014364014005,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
14,"2320 CHANNING WAY (EY)",CA,BERKELEY,94704-2202,37.866206,-122.262174,1,rooftop,2320,"Channing Way",Berkeley,CA,"Alameda County",94704,US,"City of Berkeley",2018,06,06001,0606000,422800,3007,3,060014228003007,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
15,"1718 8TH STREET",CA,BERKELEY,94710,37.871785,-122.297186,1,rooftop,1718,"8th St",Berkeley,CA,"Alameda County",94710,US,"City of Berkeley",2018,06,06001,0606000,422100,2009,2,060014221002009,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
16,"1000 CAMELIA ST",CA,BERKELEY,94710,37.878157,-122.2971,1,rooftop,1000,"Camelia St",Berkeley,CA,"Alameda County",94710,US,"Alameda County",2018,06,06001,0606000,422100,1001,1,060014221001001,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
17,"1645 MILVIA ST",CA,BERKELEY,94709,37.876878,-122.270332,1,rooftop,1645,"Milvia St",Berkeley,CA,"Alameda County",94709,US,"Alameda County",2018,06,06001,0606000,422400,3007,3,060014224003007,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
18,"1460 8TH ST",CA,BERKELEY,94710,37.876392,-122.298298,1,range_interpolation,1460,"8th St",Berkeley,CA,"Alameda County",94710,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06001,0606000,422100,1009,1,060014221001009,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
19,"1810 HOPKINS ST",CA,BERKELEY,94707,37.88298,-122.278748,1,rooftop,1810,"Hopkins St",Berkeley,CA,"Alameda County",94707,US,"Alameda County",2018,06,06001,0606000,421800,1003,1,060014218001003,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
20,"1400 ADA ST",CA,BERKELEY,94702,37.878875,-122.284395,1,rooftop,1400,"Ada St",Berkeley,CA,"Alameda County",94702,US,"Alameda County",2018,06,06001,0606000,421900,2001,2,060014219002001,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
21,"2955 CLAREMONT AVE",CA,BERKELEY,94705,37.857335,-122.245074,1,rooftop,2955,"Claremont Ave",Berkeley,CA,"Alameda County",94705,US,"Alameda County",2018,06,06001,0606000,423800,2004,2,060014238002004,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
22,"1939 WARD ST",CA,BERKELEY,94703,37.859552,-122.270492,1,rooftop,1939,"Ward St",Berkeley,CA,"Alameda County",94703,US,"Alameda County",2018,06,06001,0606000,423500,2005,2,060014235002005,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
23,"1713 PRINCE ST",CA,BERKELEY,94703-2499,37.852255,-122.273994,1,range_interpolation,1713,"Prince St",Berkeley,CA,"Alameda County",94703,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06001,0606000,424001,1002,1,060014240011002,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
24,"920 ALLSTON WAY",CA,BERKELEY,94710,37.865472,-122.294095,1,rooftop,920,"Allston Way",Berkeley,CA,"Alameda County",94710,US,"City of Berkeley",2018,06,06001,0606000,423200,1018,1,060014232001018,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
25,"2241 RUSSELL STREET",CA,BERKELEY,94705,37.857697,-122.262733,1,rooftop,2241,"Russell St",Berkeley,CA,"Alameda County",94705,US,"Alameda County",2018,06,06001,0606000,423601,2012,2,060014236012012,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
26,"840 COLUSA STREET",CA,BERKELEY,94704,37.892238,-122.281154,0.5,rooftop,840,"Colusa Ave",Berkeley,CA,"Alameda County",94707,US,"Alameda County",2018,06,06001,0606000,421300,2014,2,060014213002014,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
27,"2300 MARTIN LUTHER KING JR WAY",CA,BERKELEY,94704,37.866473,-122.27301,1,rooftop,2300,"Martin Luther King Jr Way",Berkeley,CA,"Alameda County",94704,US,"Alameda County",2018,06,06001,0606000,423000,2007,2,060014230002007,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
28,"2372 E 14TH STREET",CA,OAKLAND,94601,37.783047,-122.234238,1,rooftop,2372,"E 14th St",Oakland,CA,"Alameda County",94601,US,"Alameda County",2018,06,06001,0653000,406201,4007,4,060014062014007,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
29,"1401 ALMOND AVE, SUITE A BUILDING B",CA,LIVERMORE,94551,37.676368,-121.740309,0.9,rooftop,1401,"Almond Ave",Livermore,CA,"Alameda County",94550,US,"Alameda County",2018,06,06001,0641992,451501,2024,2,060014515012024,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
30,"1401 ALMOND AVE.",CA,LIVERMORE,94550,37.676368,-121.740309,1,rooftop,1401,"Almond Ave",Livermore,CA,"Alameda County",94550,US,"Alameda County",2018,06,06001,0641992,451501,2024,2,060014515012024,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
31,"4150 DORMAN ROAD",CA,PLEASANTON,94588,37.684228,-121.908101,1,rooftop,4150,"Dorman Rd",Pleasanton,CA,"Alameda County",94588,US,"Alameda County",2018,06,06001,0657792,450603,3003,3,060014506033003,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
32,"560 JACKSON AVENUE",CA,LIVERMORE,94550,37.684753,-121.742292,1,rooftop,560,"Jackson Ave",Livermore,CA,"Alameda County",94550,US,"Alameda County",2018,06,06001,0641992,451503,1018,1,060014515031018,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
33,"800 MARILYN AVE, ROOM 40",CA,LIVERMORE,94550,37.684195,-121.785638,0.9,rooftop,800,"Marylin Ave",Livermore,CA,"Alameda County",94551,US,"Alameda County",2018,06,06001,0641992,451404,1000,1,060014514041000,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
34,"7197 AMADOR VALLEY BLVD",CA,DUBLIN,94568,37.711232,-121.92478,1,rooftop,7197,"Amador Valley Bl",Dublin,CA,"Alameda County",94568,US,"Alameda County",2018,06,06001,0620018,450300,1028,1,060014503001028,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
35,"7500 AMARILLO DRIVE",CA,DUBLIN,94568,37.70626,-121.942278,1,rooftop,7500,"Amarillo Rd",Dublin,CA,"Alameda County",94568,US,"Alameda County",2018,06,06001,0620018,450501,2004,2,060014505012004,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
36,"25555 HESPERIAN BLVD",CA,HAYWARD,94545,37.641787,-122.105602,1,rooftop,25555,"Hesperian Bl",Hayward,CA,"Alameda County",94545,US,"Alameda County",2018,06,06001,0633000,437200,2010,2,060014372002010,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
37,"37365 ASH STREET",CA,NEWARK,94560,37.524874,-122.039036,1,rooftop,37365,"Ash St",Newark,CA,"Alameda County",94560,US,"Alameda County",2018,06,06001,0650916,444302,1023,1,060014443021023,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
38,"40404 SUNDALE DR",CA,FREMONT,94538,37.527995,-121.975941,1,rooftop,40404,"Sundale Dr",Fremont,CA,"Alameda County",94538,US,"Alameda County",2018,06,06001,0626000,442400,3001,3,060014424003001,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
39,"1444 WILLIAMS STREET, BUILDING 2",CA,"SAN LEANDRO",94577,37.714326,-122.168503,1,rooftop,1444,"Williams St","San Leandro",CA,"Alameda County",94577,US,"Alameda County",2018,06,06001,0668084,432501,3002,3,060014325013002,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
40,"22100 PRINCETON STREET",CA,HAYWARD,94541,37.672148,-122.098732,1,rooftop,22100,"Princeton St",Hayward,CA,"Alameda County",94541,US,"Alameda County",2018,06,06001,0633000,436300,1001,1,060014363001001,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
41,"500 E STREET",CA,"UNION CITY",94587,37.602473,-122.021146,1,rooftop,500,"E St","Union City",CA,"Alameda County",94587,US,"Alameda County",2018,06,06001,0681204,440200,4027,4,060014402004027,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
42,"925 SCHAFER ROAD",CA,HAYWARD,94544,37.641029,-122.080253,1,range_interpolation,925,"Schafer Rd",Hayward,CA,"Alameda County",94544,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06001,0633000,437500,2006,2,060014375002006,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
43,"2500 HANSEN RD",CA,HAYWARD,94541,37.672596,-122.056146,1,rooftop,2500,"Hansen Rd",Hayward,CA,"Alameda County",94541,US,"Alameda County",2018,06,06001,0633000,436401,2000,2,060014364012000,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
44,"15980 MARCELLA STREET",CA,SANLEANDRO,94578,37.701519,-122.116322,1,rooftop,15980,"Marcella St","San Leandro",CA,"Alameda County",94578,US,"Alameda County",2018,06,06001,0668084,433900,1003,1,060014339001003,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
45,"14432 BANCROFT AVENUE",CA,"SAN LEANDRO",94578,37.711654,-122.134426,1,rooftop,14432,"Bancroft Ave","San Leandro",CA,"Alameda County",94578,US,"Alameda County",2018,06,06001,0668084,433000,3004,3,060014330003004,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
46,"24823 SOTO ROAD",CA,HAYWARD,94544,37.656627,-122.083415,1,rooftop,24823,"Soto Rd",Hayward,CA,"Alameda County",94544,US,"Alameda County",2018,06,06001,0633000,436602,2000,2,060014366022000,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
47,"18250 BENGAL AVENUE, ROOM 11",CA,HAYWARD,94541,37.674712,-122.1194,1,rooftop,18250,"Bengal Ave",Hayward,CA,"Alameda County",94541,US,"Alameda County",2018,06,06001,0633000,436100,2003,2,060014361002003,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
48,"14811 JUNIPER STREET",CA,"SAN LEANDRO",94579,37.6953,-122.160717,1,rooftop,14811,"Juniper St","San Leandro",CA,"Alameda County",94579,US,"Alameda County",2018,06,06001,0668084,433300,3003,3,060014333003003,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
49,"5735 MUSICK AVE RM 23",CA,NEWARK,94560,37.542644,-122.0314,1,range_interpolation,5735,"Musick Ave",Newark,CA,"Alameda County",94560,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06001,0650916,444100,3005,3,060014441003005,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
50,"29150 RUUS ROAD",CA,HAYWARD,94544,37.623313,-122.064712,1,rooftop,29150,"Ruus Rd",Hayward,CA,"Alameda County",94544,US,"Alameda County",2018,06,06001,0633000,438204,3029,3,060014382043029,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
51,"28335 DICKENS AVENUE",CA,HAYWARD,94544,37.625399,-122.073375,1,range_interpolation,28335,"Dickens Ave",Hayward,CA,"Alameda County",94544,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06001,0633000,438201,3006,3,060014382013006,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
52,"3820 EAST AVENUE",CA,LIVERMORE,94550,37.68013,-121.755084,1,range_interpolation,3820,"East Ave",Livermore,CA,"Alameda County",94550,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06001,0641992,451503,3009,3,060014515033009,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
53,"1220 53RD ST",CA,EMERYVILLE,94608,37.836634,-122.285252,1,rooftop,1220,"53rd St",Emeryville,CA,"Alameda County",94608,US,"City of Emeryville",2018,06,06001,0622594,425103,3014,3,060014251033014,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
54,"7701 KRAUSE AVE",CA,OAKLAND,94621,37.761546,-122.175531,0.9,rooftop,7701,"Krause Ave",Oakland,CA,"Alameda County",94605,US,"Alameda County",2018,06,06001,0653000,408500,2000,2,060014085002000,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
55,"9600 EDES AVE",CA,OAKLAND,94603,37.737209,-122.185122,1,rooftop,9600,"Edes Ave",Oakland,CA,"Alameda County",94603,US,"Alameda County",2018,06,06001,0653000,409000,1023,1,060014090001023,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
56,"647 55TH ST",CA,OAKLAND,94609,37.839983,-122.265925,1,rooftop,647,"55th St",Oakland,CA,"Alameda County",94609,US,"Alameda County",2018,06,06001,0653000,400600,2010,2,060014006002010,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
57,"274- 12TH ST",CA,OAKLAND,94607,37.801562,-122.268008,1,range_interpolation,274,"12th St",Oakland,CA,"Alameda County",94607,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06001,0653000,403000,2005,2,060014030002005,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
58,"1010 EAST 15TH ST",CA,OAKLAND,94606,37.792759,-122.248614,1,range_interpolation,1010,"E 15th St",Oakland,CA,"Alameda County",94606,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06001,0653000,405402,1012,1,060014054021012,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
59,"2619 BROADWAY",CA,OAKLAND,94612,37.815325,-122.265005,1,rooftop,2619,Broadway,Oakland,CA,"Alameda County",94612,US,"Alameda County",2018,06,06001,0653000,401300,3006,3,060014013003006,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
60,"6818 LION WAY SUITE 110",CA,OAKLAND,94621,37.757897,-122.197519,1,range_interpolation,6818,"Lion Way",Oakland,CA,"Alameda County",94621,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06001,0653000,408800,2009,2,060014088002009,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
61,"8501 INTERNATIONAL BLVD",CA,OAKLAND,94621,37.752944,-122.177303,1,rooftop,8501,"International Bl",Oakland,CA,"Alameda County",94621,US,"Alameda County",2018,06,06001,0653000,409500,2014,2,060014095002014,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
62,"975 85TH AVE",CA,OAKLAND,94621,37.749972,-122.184567,1,range_interpolation,975,"85th Ave",Oakland,CA,"Alameda County",94621,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06001,0653000,409500,1010,1,060014095001010,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
63,"1059 W GRAND AVE",CA,OAKLAND,94607,37.815024,-122.282004,1,range_interpolation,1059,"W Grand Ave",Oakland,CA,"Alameda County",94607,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06001,0653000,402400,1010,1,060014024001010,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
64,"2228 EAST 15TH STREET",CA,OAKLAND,94606,37.785255,-122.236198,1,rooftop,2228,"E 15th St",Oakland,CA,"Alameda County",94606,US,"Alameda County",2018,06,06001,0653000,405901,1020,1,060014059011020,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
65,"1701 EAST 19TH STREET",CA,OAKLAND,94606,37.790894,-122.240001,1,range_interpolation,1701,"E 19th St",Oakland,CA,"Alameda County",94606,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06001,0653000,405902,2007,2,060014059022007,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
66,"2563 EAST 14TH ST",CA,OAKLAND,94601,37.781552,-122.233236,1,range_interpolation,2563,"E 14th St",Oakland,CA,"Alameda County",94601,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06001,0653000,406100,4006,4,060014061004006,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
67,"26555 GADING RD",CA,HAYWARD,94544,37.641101,-122.081574,1,rooftop,26555,"Gading Rd",Hayward,CA,"Alameda County",94544,US,"Alameda County",2018,06,06001,0633000,437500,1006,1,060014375001006,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
68,"14300 BANCROFT AVENUE",CA,"SAN LEANDRO",94578,37.712632,-122.135847,1,rooftop,14300,"Bancroft Ave","San Leandro",CA,"Alameda County",94578,US,"Alameda County",2018,06,06001,0668084,433000,3004,3,060014330003004,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
69,"1190 DAVIS ST",CA,"SAN LEANDRO",94577,37.721773,-122.168861,1,rooftop,1190,"Davis St","San Leandro",CA,"Alameda County",94577,US,"Alameda County",2018,06,06001,0668084,432502,1000,1,060014325021000,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
70,"6925 INTERNATIONAL BLVD.",CA,OAKLAND,94621,37.76057,-122.190195,1,range_interpolation,6925,"International Blvd",Oakland,CA,"Alameda County",94621,US,"TIGER/Line® dataset from the US Census Bureau",2018,06,06001,0653000,408800,1001,1,060014088001001,"San Francisco-Oakland-Hayward, CA",41860,metropolitan,"San Jose-San Francisco-Oakland, CA",488,"Oakland-Hayward-Berkeley, CA",36084
